,gamma_hold,gamma_trade,gamma_turn,gamma_leverage,gamma_risk,sharpe_train,sharpe_test,vola_train,vola_test,lev_train,lev_test,turn_train,turn_test
1,1.0,1.0,0.005,0.0005,0.05,4.895204153453424,4.466158230695598,0.07994059158966896,0.09060963699593907,1.6000552359846834,1.5999644888774711,25.866661582382882,25.917623764924063
2,1.0,1.0,0.005,0.0005,0.05,4.895204153453424,4.466158230695598,0.07994059158966896,0.09060963699593907,1.6000552359846834,1.5999644888774711,25.866661582382882,25.917623764924063
3,0.8,1.0,0.005,0.0005,0.05,4.906567879273458,5.029174560262121,0.07952658893980412,0.08674287219471086,1.6186006317955228,1.6000339551262528,25.868663046636925,25.921372004775247
4,0.8,1.0,0.005,0.0005,0.05,4.906567879273458,5.029174560262121,0.07952658893980412,0.08674287219471086,1.6186006317955228,1.6000339551262528,25.868663046636925,25.921372004775247
5,0.8,0.8,0.005,0.0005,0.05,4.933550088861033,4.7794732019350965,0.0780711574780827,0.0860497701966717,1.600100638045306,1.6000376827305922,25.873973604764654,25.919954904704024
6,0.8,0.8,0.005,0.0005,0.05,4.933550088861033,4.7794732019350965,0.0780711574780827,0.0860497701966717,1.600100638045306,1.6000376827305922,25.873973604764654,25.919954904704024
7,0.8,0.8,0.004,0.0005,0.05,4.956131020309898,5.193561250322522,0.07931785670974649,0.08537670813249797,1.6198041244898504,1.6000416713897074,26.508451920352616,26.528259895120573
8,0.8,0.8,0.004,0.0005,0.05,4.956131020309898,5.193561250322522,0.07931785670974649,0.08537670813249797,1.6198041244898504,1.6000416713897074,26.508451920352616,26.528259895120573
9,0.8,0.8,0.004,0.0004,0.05,5.06113426953052,5.2215987222279825,0.07793967544976937,0.08480422211573069,1.669631498394052,1.600032215667156,26.531479700013065,26.49702350590303
10,0.8,0.8,0.004,0.0004,0.05,5.06113426953052,5.2215987222279825,0.07793967544976937,0.08480422211573069,1.669631498394052,1.600032215667156,26.531479700013065,26.49702350590303
11,0.8,0.8,0.004,0.0004,0.05,5.06113426953052,5.2215987222279825,0.07793967544976937,0.08480422211573069,1.669631498394052,1.600032215667156,26.531479700013065,26.49702350590303
12,0.8,0.8,0.004,0.0004,0.05,5.06113426953052,5.2215987222279825,0.07793967544976937,0.08480422211573069,1.669631498394052,1.600032215667156,26.531479700013065,26.49702350590303
13,0.8,0.8,0.004,0.0004,0.05,5.06113426953052,5.2215987222279825,0.07793967544976937,0.08480422211573069,1.669631498394052,1.600032215667156,26.531479700013065,26.49702350590303
14,0.8,0.8,0.004,0.0004,0.05,5.06113426953052,5.2215987222279825,0.07793967544976937,0.08480422211573069,1.669631498394052,1.600032215667156,26.531479700013065,26.49702350590303
15,0.8,0.6400000000000001,0.004,0.0004,0.05,5.1005519611244665,4.403707551392643,0.07723915855636763,0.08662490096477667,1.638707096416884,1.6099740789023007,26.598178860121887,26.666022287235233
16,0.8,0.6400000000000001,0.004,0.0004,0.05,5.1005519611244665,4.403707551392643,0.07723915855636763,0.08662490096477667,1.638707096416884,1.6099740789023007,26.598178860121887,26.666022287235233
17,0.8,0.6400000000000001,0.0032,0.0004,0.05,5.385741266201897,5.619463763356395,0.07837835266451697,0.0868014754853586,1.663206606188946,1.6650413691037194,33.8345640340799,33.59539691169098
18,0.8,0.6400000000000001,0.0032,0.0005,0.05,5.449714766596477,5.573710964213763,0.07805834377412815,0.08726251301605242,1.6612888672640922,1.6000557155158828,33.81898788382296,33.45108876569708
19,0.8,0.6400000000000001,0.0032,0.0005,0.0625,5.551850260509978,5.539564038403836,0.07830790139465275,0.08551706989487985,1.6154604922754825,1.6000884097379549,33.84483636244151,33.42298593227558
20,0.8,0.6400000000000001,0.0032,0.0005,0.0625,5.551850260509978,5.539564038403836,0.07830790139465275,0.08551706989487985,1.6154604922754825,1.6000884097379549,33.84483636244151,33.42298593227558
21,0.6400000000000001,0.6400000000000001,0.0032,0.0005,0.0625,5.683093204434133,6.006581799149023,0.0756980003681469,0.08166046445090278,1.667595162814015,1.6000838802073531,33.912260723246355,34.19049647479596
22,0.6400000000000001,0.6400000000000001,0.0032,0.0005,0.0625,5.683093204434133,6.006581799149023,0.0756980003681469,0.08166046445090278,1.667595162814015,1.6000838802073531,33.912260723246355,34.19049647479596
23,0.6400000000000001,0.5120000000000001,0.0032,0.0005,0.0625,5.844008341458903,5.585210247805996,0.07478953580548485,0.08203593140887365,1.6836191267801994,1.6233599359699136,34.45966407629592,34.32779627570075
24,0.6400000000000001,0.5120000000000001,0.0032,0.0005,0.0625,5.844008341458903,5.585210247805996,0.07478953580548485,0.08203593140887365,1.6836191267801994,1.6233599359699136,34.45966407629592,34.32779627570075
25,0.6400000000000001,0.5120000000000001,0.0032,0.0005,0.0625,5.844008341458903,5.585210247805996,0.07478953580548485,0.08203593140887365,1.6836191267801994,1.6233599359699136,34.45966407629592,34.32779627570075
26,0.6400000000000001,0.5120000000000001,0.0032,0.000625,0.0625,5.849939265738205,5.648377542078701,0.07427712696751423,0.08168598124193617,1.6001262438061428,1.6000893240960197,34.449334963932465,34.335592876850804
27,0.6400000000000001,0.5120000000000001,0.0032,0.000625,0.0625,5.849939265738205,5.648377542078701,0.07427712696751423,0.08168598124193617,1.6001262438061428,1.6000893240960197,34.449334963932465,34.335592876850804
28,0.6400000000000001,0.5120000000000001,0.0032,0.000625,0.05,5.926940856181873,5.5448672136083665,0.07554109756764311,0.0839522663177649,1.6001288462569172,1.6000972220836525,34.52535428975079,34.61655437630071
29,0.6400000000000001,0.5120000000000001,0.0032,0.000625,0.05,5.926940856181873,5.5448672136083665,0.07554109756764311,0.0839522663177649,1.6001288462569172,1.6000972220836525,34.52535428975079,34.61655437630071
30,0.6400000000000001,0.5120000000000001,0.0032,0.000625,0.05,5.926940856181873,5.5448672136083665,0.07554109756764311,0.0839522663177649,1.6001288462569172,1.6000972220836525,34.52535428975079,34.61655437630071
31,0.6400000000000001,0.6400000000000001,0.0032,0.000625,0.05,5.929411018055647,6.004851802000802,0.07553208574261541,0.08300384626633951,1.6001175202526545,1.600087311902704,34.13146099294868,34.26415385210887
32,0.6400000000000001,0.6400000000000001,0.0032,0.000625,0.05,5.929411018055647,6.004851802000802,0.07553208574261541,0.08300384626633951,1.6001175202526545,1.600087311902704,34.13146099294868,34.26415385210887
33,0.6400000000000001,0.6400000000000001,0.0032,0.000625,0.05,5.929411018055647,6.004851802000802,0.07553208574261541,0.08300384626633951,1.6001175202526545,1.600087311902704,34.13146099294868,34.26415385210887
34,0.6400000000000001,0.6400000000000001,0.0032,0.000625,0.05,5.929411018055647,6.004851802000802,0.07553208574261541,0.08300384626633951,1.6001175202526545,1.600087311902704,34.13146099294868,34.26415385210887
35,0.6400000000000001,0.6400000000000001,0.0032,0.0005,0.05,5.961475100803022,6.016831913268215,0.07538578444948515,0.08288975892294523,1.6555481011503623,1.6000881175759436,34.14038774585627,34.31327379092539
36,0.6400000000000001,0.6400000000000001,0.0032,0.0005,0.05,5.961475100803022,6.016831913268215,0.07538578444948515,0.08288975892294523,1.6555481011503623,1.6000881175759436,34.14038774585627,34.31327379092539
37,0.6400000000000001,0.6400000000000001,0.0032,0.0005,0.04000000000000001,6.054732462251066,5.9861553058379515,0.07729316531932444,0.08564099890703317,1.6726516859851932,1.600105748133858,33.94266873317484,34.22218446927415
38,0.6400000000000001,0.6400000000000001,0.0032,0.0005,0.04000000000000001,6.054732462251066,5.9861553058379515,0.07729316531932444,0.08564099890703317,1.6726516859851932,1.600105748133858,33.94266873317484,34.22218446927415
39,0.6400000000000001,0.6400000000000001,0.0032,0.0005,0.04000000000000001,6.054732462251066,5.9861553058379515,0.07729316531932444,0.08564099890703317,1.6726516859851932,1.600105748133858,33.94266873317484,34.22218446927415
40,0.6400000000000001,0.6400000000000001,0.0032,0.0005,0.04000000000000001,6.054732462251066,5.9861553058379515,0.07729316531932444,0.08564099890703317,1.6726516859851932,1.600105748133858,33.94266873317484,34.22218446927415
41,0.6400000000000001,0.6400000000000001,0.0032,0.0005,0.04000000000000001,6.054732462251066,5.9861553058379515,0.07729316531932444,0.08564099890703317,1.6726516859851932,1.600105748133858,33.94266873317484,34.22218446927415
42,0.6400000000000001,0.6400000000000001,0.0032,0.0005,0.04000000000000001,6.054732462251066,5.9861553058379515,0.07729316531932444,0.08564099890703317,1.6726516859851932,1.600105748133858,33.94266873317484,34.22218446927415
43,0.6400000000000001,0.6400000000000001,0.0032,0.0005,0.04000000000000001,6.054732462251066,5.9861553058379515,0.07729316531932444,0.08564099890703317,1.6726516859851932,1.600105748133858,33.94266873317484,34.22218446927415
44,0.6400000000000001,0.6400000000000001,0.0032,0.0005,0.04000000000000001,6.054732462251066,5.9861553058379515,0.07729316531932444,0.08564099890703317,1.6726516859851932,1.600105748133858,33.94266873317484,34.22218446927415
45,0.6400000000000001,0.6400000000000001,0.0032,0.0005,0.04000000000000001,6.054732462251066,5.9861553058379515,0.07729316531932444,0.08564099890703317,1.6726516859851932,1.600105748133858,33.94266873317484,34.22218446927415
